2026-07-08T04:16:51+00:00 [vnseea_call_debug] type=live_create user_id=1 role=host status=200 post_id=4155 stream_name=rn_live_1_1783484210630 room_name=wowonder_live_rn_live_1_1783484210630 ws_url=wss://livekit.hisotechgroup.vn started_at=1783484211
2026-07-10T08:57:02+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:02+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:03+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:04+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:04+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:04+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:05+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:05+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:07+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:07+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:07+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:08+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:08+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:08+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:09+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:09+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:10+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:10+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:11+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:11+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:12+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:12+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:13+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:13+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:14+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:14+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:15+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:15+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:16+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:17+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
